lon,lat,depth_m
-71.078936,42.357613,5.486
-71.078560,42.357634,5.486
-71.078136,42.357835,5.486
-71.078064,42.357988,5.486
-71.078135,42.358115,5.486
-71.078315,42.358285,5.486
-71.078001,42.358453,5.486
-71.077913,42.358591,5.486
-71.077886,42.358969,5.486
-71.077685,42.359149,5.486
-71.077820,42.359302,5.486
-71.077783,42.359367,5.486
-71.077613,42.359282,5.486
-71.077443,42.359256,5.486
-71.077318,42.359446,5.486
-71.077054,42.359480,5.486
-71.077017,42.359672,5.486
-71.076739,42.359870,5.486
-71.076544,42.359819,5.486
-71.076423,42.359837,5.486
-71.075998,42.360358,5.486
-71.075840,42.360449,5.486
-71.075670,42.360428,5.486
-71.075606,42.360500,5.486
-71.075625,42.360914,5.486
-71.075589,42.361148,5.486
-71.075415,42.361274,5.486
-71.075167,42.361103,5.486
-71.074990,42.360983,5.486
